title,combined
Adrift,"a true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history. shailenewoodley samclaflin jeffreythomas baltasarkormákur action adventure biography"
I Feel Pretty,"a woman struggling with insecurity wakes from a fall believing she is the most beautiful and capable woman on the planet. her new confidence empowers her to live fearlessly, but what happens when she realizes her appearance never changed? amyschumer michellewilliams emilyratajkowski abbykohn,marcsilverstein comedy romance"
Truth or Dare,a harmless game of truth or dare among friends turns deadly when someone - or something - begins to punish those who tell a lie or refuse the dare. lucyhale tylerposey violettbeane jeffwadlow horror thriller
Sanju,"sanju is a biopic of the controversial life of actor sanjay dutt: his film career, jail sentence and personal life. ranbirkapoor pareshrawal manishakoirala rajkumarhirani biography comedy drama"
Hotel Artemis,"set in riot-torn, near-future los angeles, 'hotel artemis' follows the nurse, who runs a secret, members-only emergency room for criminals. jodiefoster sofiaboutella davebautista drewpearce action crime drama"
Extinction,"a father has a recurring dream of losing his family. his nightmare turns into reality when the planet is invaded by a force bent on destruction. fighting for their lives, he comes to realize an unknown strength to keep them safe from harm. michaelpeña lizzycaplan ameliacrouch benyoung action drama sciencefiction"
Can You Ever Forgive Me?,"when lee israel falls out of step with current tastes, she turns her art form to deception. melissamccarthy richarde.grant dollywells marielleheller biography comedy crime"
Durante la tormenta,two storms separated by 25 years. a woman murdered. a daughter missed. only 72 hours to discover the truth. adrianaugarte chinodarín javiergutiérrez oriolpaulo drama fantasy mystery
The House with a Clock in Its Walls,a young orphan named lewis barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world. jackblack cateblanchett owenvaccaro eliroth comedy family fantasy
Apostle,"in 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island. danstevens richardelfyn paulhiggins garethevans drama fantasy horror"
K.G.F: Chapter 1,"in the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people. yash srinidhishetty ramachandraraju prashanthneel action crime drama"
Arctic,a man stranded in the arctic after a plane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown. madsmikkelsen mariathelmasmáradóttir tintrinaithikhasuk joepenna adventure drama
How It Ends,"in the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away. theojames katgraham nancysorel davidm.rosenthal action drama mystery"
Set It Up,two corporate executive assistants hatch a plan to match-make their two bosses. zoeydeutch glenpowell lucyliu clairescanlon comedy romance
