title,combined
Escape Room,six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive. taylorrussell loganmiller jayellis adamrobitel action adventure horror
John Wick: Chapter 3 - Parabellum,"john wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere. keanureeves halleberry ianmcshane chadstahelski action crime thriller"
Us,a family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them. lupitanyong'o winstonduke elisabethmoss jordanpeele horror mystery thriller
Downton Abbey,"the continuing story of the crawley family, wealthy owners of a large estate in the english countryside in the early twentieth century. stephencampbellmoore michaelfox lesleynicol michaelengler drama romance"
Scary Stories to Tell in the Dark,"on halloween 1968, stella and her two friends meet a mysterious drifter, ramón, and uncover a sinister notebook of stories. zoemargaretcolletti michaelgarza gabrielrush andréøvredal adventure horror mystery"
The Irishman,hitman frank sheeran looks back at the secrets he kept as a loyal member of the bufalino crime family. robertdeniro alpacino joepesci martinscorsese biography crime drama
Alita: Battle Angel,"a deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is. rosasalazar christophwaltz jenniferconnelly robertrodriguez action adventure sciencefiction"
El hoyo,a vertical prison with one cell per level. two people per cell. only one food platform and two minutes per day to feed. an endless nightmare trapped in the hole. ivanmassagué zorioneguileor antoniasanjuan galdergaztelu-urrutia horror sciencefiction thriller
Fast & Furious Presents: Hobbs & Shaw,"lawman luke hobbs (dwayne ""the rock"" johnson) and outcast deckard shaw (jason statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity. dwaynejohnson jasonstatham idriselba davidleitch action adventure thriller"
Cats,a tribe of cats called the jellicles must decide yearly which one will ascend to the heaviside layer and come back to a new jellicle life. jamescorden judidench jasonderulo tomhooper comedy drama family
Charlie's Angels,"when a young systems engineer blows the whistle on a dangerous technology, charlie's angels are called into action, putting their lives on the line to protect us all. kristenstewart naomiscott ellabalinska elizabethbanks action adventure comedy"
Zombieland: Double Tap,"columbus, tallahassee, wichita, and little rock move to the american heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family. woodyharrelson jesseeisenberg emmastone rubenfleischer action comedy horror"
Official Secrets,the true story of a british whistleblower who leaked information to the press about an illegal nsa spy operation designed to push the un security council into sanctioning the 2003 invasion of iraq. keiraknightley mattsmith matthewgoode gavinhood biography crime drama
Ford v Ferrari,american car designer carroll shelby and driver ken miles battle corporate interference and the laws of physics to build a revolutionary race car for ford in order to defeat ferrari at the 24 hours of le mans in 1966. mattdamon christianbale jonbernthal jamesmangold action biography drama
Yesterday,a struggling musician realizes he's the only person on earth who can remember the beatles after waking up in an alternate timeline where they never existed. himeshpatel lilyjames sophiadimartino dannyboyle comedy fantasy music
Child's Play,"a mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature. timmatheson bendaon zahraanderson larsklevberg drama horror sciencefiction"
The Dead Don't Die,the peaceful town of centerville finds itself battling a zombie horde as the dead start rising from their graves. billmurray adamdriver tomwaits jimjarmusch comedy fantasy horror
Fighting with My Family,a former wrestler and his family make a living performing at small venues around the country while his kids dream of joining world wrestling entertainment. dwaynejohnson lenaheadey vincevaughn stephenmerchant biography comedy drama
Anna,beneath anna poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins. sashaluss helenmirren lukeevans lucbesson action thriller
Aladdin,a kind-hearted street urchin and a power-hungry grand vizier vie for a magic lamp that has the power to make their deepest wishes come true. willsmith menamassoud naomiscott guyritchie adventure comedy family
Uncut Gems,"with his debts mounting and angry collectors closing in, a fast-talking new york city jeweler risks everything in hope of staying afloat and alive. adamsandler juliafox idinamenzel bennysafdie,joshsafdie crime drama thriller"
Vivarium,a young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses. imogenpoots danielleryan mollymccann lorcanfinnegan comedy horror mystery
Bombshell,a group of women take on fox news head roger ailes and the toxic atmosphere he presided over at the network. charlizetheron nicolekidman margotrobbie jayroach biography drama
Ad Astra,"astronaut roy mcbride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe. bradpitt tommyleejones ruthnegga jamesgray adventure drama mystery"
Terminator: Dark Fate,"an augmented human and sarah connor must stop an advanced liquid terminator from hunting down a young girl, whose fate is critical to the human race. lindahamilton arnoldschwarzenegger mackenziedavis timmiller action adventure sciencefiction"
Gemini Man,an over-the-hill hitman faces off against a younger clone of himself. willsmith maryelizabethwinstead cliveowen anglee action drama sciencefiction
6 Underground,"six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future. ryanreynolds mélanielaurent manuelgarcia-rulfo michaelbay action thriller"
Good Boys,"three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party. jacobtremblay keithl.williams bradynoon genestupnitsky adventure comedy"
Booksmart,"on the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. determined not to fall short of their peers, the girls try to cram four years of fun into one night. kaitlyndever beaniefeldstein jessicawilliams oliviawilde comedy"
21 Bridges,an embattled nypd detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. chadwickboseman siennamiller j.k.simmons briankirk action crime thriller
Ma,"a lonely woman befriends a group of teenagers and decides to let them party at her house. just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host. octaviaspencer dianasilvers juliettelewis tatetaylor horror mystery thriller"
Marriage Story,noah baumbach's incisive and compassionate look at a marriage breaking up and a family staying together. adamdriver scarlettjohansson juliagreer noahbaumbach comedy drama romance
Godzilla: King of the Monsters,"the crypto-zoological agency monarch faces off against a battery of god-sized monsters, including the mighty godzilla, who collides with mothra, rodan, and his ultimate nemesis, the three-headed king ghidorah. kylechandler verafarmiga milliebobbybrown michaeldougherty action adventure fantasy"
The Lion King,"after the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery. donaldglover beyoncé sethrogen jonfavreau animation adventure drama"
Motherless Brooklyn,"in 1950s new york, a lonely private detective afflicted with tourette's syndrome ventures to solve the murder of his mentor and only friend. edwardnorton gugumbatha-raw alecbaldwin edwardnorton crime drama mystery"
The Lodge,"a soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. just as relations begin to thaw between the trio, some strange and frightening events take place. rileykeough jaedenmartell liamchugh severinfiala,veronikafranz drama horror mystery"
Men in Black: International,"the men in black have always protected the earth from the scum of the universe. in this new adventure, they tackle their biggest threat to date: a mole in the men in black organization. chrishemsworth tessathompson kumailnanjiani f.garygray action adventure comedy"
Saint Maud,follows a pious nurse who becomes dangerously obsessed with saving the soul of her dying patient. morfyddclark caoilfhionndunne jenniferehle roseglass drama horror thriller
Sound of Metal,a heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing. rizahmed oliviacooke paulraci dariusmarder drama music
Glass,"security guard david dunn uses his supernatural abilities to track kevin wendell crumb, a disturbed man who has twenty-four personalities. jamesmcavoy brucewillis samuell.jackson m.nightshyamalan drama sciencefiction thriller"
Paradise Hills,uma is a young woman who wakes up in an apparently idyllic reform school for young ladies. but a dark secret lies within its walls. emmaroberts daniellemacdonald awkwafina alicewaddington fantasy sciencefiction thriller
Dark Phoenix,"jean grey begins to develop incredible powers that corrupt and turn her into a dark phoenix, causing the x-men to decide if her life is worth more than all of humanity. jamesmcavoy michaelfassbender jenniferlawrence simonkinberg action adventure sciencefiction"
A Rainy Day in New York,a young couple arrives in new york for a weekend where they are met with bad weather and a series of adventures. timothéechalamet ellefanning lievschreiber woodyallen comedy romance
Just Mercy,world-renowned civil rights defense attorney bryan stevenson works to free a wrongly condemned death row prisoner. michaelb.jordan jamiefoxx brielarson destindanielcretton biography crime drama
Portrait de la jeune fille en feu,"on an isolated island in brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman. noémiemerlant adèlehaenel luànabajrami célinesciamma drama romance"
The Outpost,a small team of u.s. soldiers battle against hundreds of taliban fighters in afghanistan. scotteastwood caleblandryjones orlandobloom rodlurie action drama history
The Room,"matt and kate buy an isolated house. while moving, they discover a strange room that grants them an unlimited number of material wishes. but, since kate has had two miscarriages, what they miss the most is a child. olgakurylenko kevinjanssens joshuawilson christianvolckman drama horror mystery"
El Camino: A Breaking Bad Movie,"fugitive jesse pinkman runs from his captors, the law, and his past. aaronpaul jonathanbanks mattjones vincegilligan action crime drama"
I See You,strange occurrences plague a small town detective and his family as he investigates the disappearance of a young boy. helenhunt jontenney owenteague adamrandall crime drama horror
Midway,"the story of the battle of midway, told by the leaders and the sailors who fought it. edskrein patrickwilson woodyharrelson rolandemmerich action drama history"
Frozen II,"anna, elsa, kristoff, olaf and sven leave arendelle to travel to an ancient, autumn-bound forest of an enchanted land. they set out to find the origin of elsa's powers in order to save their kingdom. kristenbell idinamenzel joshgad chrisbuck,jenniferlee animation adventure comedy"
Hustlers,"inspired by the viral new york magazine article, hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their wall street clients. constancewu jenniferlopez juliastiles lorenescafaria comedy crime drama"
Angel Has Fallen,mike banning is framed for the attempted assassination of the president and must evade his own agency and the fbi as he tries to uncover the real threat. gerardbutler frederickschmidt dannyhuston ricromanwaugh action thriller
Color Out of Space,a secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world. nicolascage joelyrichardson madeleinearthur richardstanley horror mystery sciencefiction
Dark Waters,a corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution. markruffalo annehathaway timrobbins toddhaynes biography drama history
Toy Story 4,"when a new toy called ""forky"" joins woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy. tomhanks timallen anniepotts joshcooley animation adventure comedy"
Hellboy,"based on the graphic novels by mike mignola, hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge. davidharbour millajovovich ianmcshane neilmarshall action adventure fantasy"
Haunt,"on halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. the night turns deadly as they come to the horrifying realization that some nightmares are real. katiestevens willbrittain laurynalisamcclain scottbeck,bryanwoods horror thriller"
Polar,"a retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees. madsmikkelsen vanessahudgens katherynwinnick jonasåkerlund action crime drama"
The Informer,an ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison. joelkinnaman rosamundpike common andreadistefano action crime drama
Maleficent: Mistress of Evil,"maleficent and her goddaughter aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies and dark new forces at play. angelinajolie ellefanning harrisdickinson joachimrønning adventure family fantasy"
The Goldfinch,"a boy in new york is taken in by a wealthy family after his mother is killed in a bombing at the metropolitan museum of art. in a rush of panic, he steals 'the goldfinch', a painting that eventually draws him into a world of crime. oakesfegley anselelgort nicolekidman johncrowley drama"
The Peanut Butter Falcon,"zak runs away from his care home to make his dream of becoming a wrestler come true. zackgottsagen annowens dakotajohnson tylernilson,michaelschwartz adventure comedy drama"
Crawl,"a young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators. kayascodelario barrypepper morfyddclark alexandreaja action horror thriller"
Benny Loves You,"jack, a man desperate to improve his life throws away his beloved childhood plush, benny. it's a move that has disastrous consequences when benny springs to life with deadly intentions. karlholt clairecartwright georgecollie karlholt animation action comedy"
"Extremely Wicked, Shockingly Evil and Vile","a chronicle of the crimes of ted bundy from the perspective of liz, his longtime girlfriend, who refused to believe the truth about him for years. lilycollins zacefron angelasarafyan joeberlinger biography crime drama"
Annabelle Comes Home,"while babysitting the daughter of ed and lorraine warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll. verafarmiga patrickwilson mckennagrace garydauberman horror mystery thriller"
Guns Akimbo,a guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers. danielradcliffe samaraweaving neddennehy jasonleihowden action comedy crime
The Dirt,"based on the bestselling autobiography from mötley crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of hollywood to the heights of international fame. douglasbooth iwanrheon machinegunkelly jefftremaine biography comedy drama"
Murder Mystery,"a new york cop and his wife go on a european vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire. adamsandler jenniferaniston lukeevans kylenewacheck action comedy crime"
Fractured,"a couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. they hurry to a hospital. something strange is going on there. the wife and daughter go missing. samworthington lilyrabe lucycapri bradanderson mystery thriller"
Five Feet Apart,"a pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact. haleylurichardson colesprouse moisesarias justinbaldoni drama romance"
Swallow,"hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. as her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession. haleybennett austinstowell deniso'hare carlomirabella-davis drama mystery thriller"
Richard Jewell,"security guard richard jewell is an instant hero after foiling a bomb attack at the 1996 atlanta olympics, but his life becomes a nightmare when the fbi leaks to the media that he is a suspect in the case. paulwalterhauser samrockwell brandonstanley clinteastwood biography crime drama"
A Beautiful Day in the Neighborhood,based on the true story of a real-life friendship between fred rogers and journalist lloyd vogel. tomhanks matthewrhys chriscooper marielleheller biography drama
Judy,legendary performer judy garland arrives in london in the winter of 1968 to perform a series of sold-out concerts. renéezellweger jessiebuckley finnwittrock rupertgoold biography drama romance
Velvet Buzzsaw,"a satire set in the contemporary art world scene of los angeles, where big money artists and mega-collectors pay a high price when art collides with commerce. jakegyllenhaal renerusso zaweashton dangilroy horror mystery thriller"
Pet Sematary,"dr. louis creed and his wife, rachel, relocate from boston to rural maine with their two young children. the couple soon discover a mysterious burial ground hidden deep in the woods near their new home. jasonclarke amyseimetz johnlithgow kevinkölsch,denniswidmyer horror mystery thriller"
Triple Frontier,"loyalties are tested when five friends and former special forces operatives reunite to take down a south american drug lord, unleashing a chain of unintended consequences. benaffleck oscarisaac charliehunnam j.c.chandor action adventure crime"
Rambo: Last Blood,rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission. sylvesterstallone pazvega sergioperis-mencheta adriangrunberg action thriller
Last Christmas,"kate is a young woman subscribed to bad decisions. working as an elf in a year round christmas store is not good for the wannabe singer. however, she meets tom there. her life takes a new turn. for kate, it seems too good to be true. madisoningoldsby emmathompson borisisakovic paulfeig comedy drama fantasy"
The Good Liar,"consummate con man roy courtnay has set his sights on his latest mark: the recently widowed betty mcleish, worth millions. but this time, what should have been a simple swindle escalates into a cat-and-mouse game with the ultimate stakes. helenmirren ianmckellen russelltovey billcondon crime drama mystery"
Funhouse,"when 8 celebrities from around the globe are invited to compete in an online reality show, they soon realize that they are playing for their very lives, as those voted off suffer horrific consequences, broadcast live to the entire world. valterskarsgård khamisawilsher gigisaulguerrero jasonwilliamlee crime drama horror"
The Beach Bum,a rebellious stoner named moondog lives life by his own rules. matthewmcconaughey snoopdogg islafisher harmonykorine comedy
Captive State,"set in a chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'captive state' explores the lives on both sides of the conflict - the collaborators and dissidents. johngoodman ashtonsanders jonathanmajors rupertwyatt action horror sciencefiction"
Black and Blue,a rookie new orleans police officer is forced to balance her identity as a black woman after she witnesses two corrupt cops committing murder. naomieharris tyresegibson frankgrillo deontaylor action crime thriller
The Kitchen,the wives of new york gangsters in hell's kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison. melissamccarthy tiffanyhaddish elisabethmoss andreaberloff action crime drama
Our Friend,"after receiving life-altering news, a couple finds unexpected support from their best friend, who puts his own life on hold and moves into their family home, bringing an impact much greater and more profound than anyone could have imagined jasonsegel isabellakai violetmcgraw gabrielacowperthwaite drama romance"
Stuber,a detective recruits his uber driver into an unexpected night of adventure. davebautista kumailnanjiani mirasorvino michaeldowse action comedy crime
Dora and the Lost City of Gold,"dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold. isabelamerced eugenioderbez michaelpeña jamesbobin action adventure comedy"
3 from Hell,"after barely surviving prison, the demented firefly clan go on the run, unleashing a whole new wave of murder, madness and mayhem. sherimoonzombie billmoseley sidhaig robzombie action horror"
Brightburn,"what if a child from another world crash-landed on earth, but instead of becoming a hero to mankind, he proved to be something far more sinister? elizabethbanks daviddenman jacksona.dunn davidyarovesky drama horror mystery"
Buddy Games,"a group of friends reunite to play the buddy games, a wild assortment of absurd physical and mental challenges. in the process, they'll heal old wounds, right past wrongs and figure out the true meaning of friendship...or die trying. danbakkedahl kevindillon joshduhamel joshduhamel comedy"
The Hustle,two con women - one low rent and the other high class - team up to take down the men who have wronged them. annehathaway rebelwilson alexsharp chrisaddison comedy crime
Robert the Bruce,the story of the nobleman-turned-outlaw hero who was crowned king of scots in the 14th century. angusmacfadyen diarmaidmurtagh jaredharris richardgray biography drama history
Synchronic,"two new orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects. anthonymackie jamiedornan katieaselton justinbenson,aaronmoorhead drama sciencefiction thriller"
Honey Boy,a young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health. shialabeouf lucashedges noahjupe almahar'el drama
Queen & Slim,a couple's first date takes an unexpected turn when a police officer pulls them over. danielkaluuya jodieturner-smith bokeemwoodbine melinamatsoukas crime drama romance
Luce,"a married couple is forced to reckon with their idealized image of their son, adopted from war-torn eritrea, after an alarming discovery by a devoted high school teacher threatens his status as an all-star student. naomiwatts octaviaspencer kelvinharrisonjr. juliusonah drama mystery"
Pokémon: Detective Pikachu,"in a world where people collect pokémon to do battle, a boy comes across an intelligent talking pikachu who seeks to be a detective. ryanreynolds justicesmith kathrynnewton robletterman action adventure comedy"
The Curse of La Llorona,"ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm. lindacardellini raymondcruz patriciavelasquez michaelchaves horror mystery thriller"
In the Tall Grass,"after hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in kansas but soon discover there may be no way out...and that something evil lurks within. laysladeoliveira averywhitted patrickwilson vincenzonatali horror mystery sciencefiction"
Klaus,"a simple act of kindness always sparks another, even in a frozen, faraway place. when smeerensburg's new postman, jesper, befriends toymaker klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions. jasonschwartzman j.k.simmons rashidajones sergiopablos,carlosmartínezlópez animation adventure comedy"
The Mortuary Collection,an eccentric mortician recounts several macabre and phantasmagorical tales that he's encountered in his distinguished career. tristanbyon edencampbell hannahr.loyd ryanspindell fantasy horror
The Other Lamb,a girl born into an all-female cult led by a man in their compound begins to question his teachings and her own reality. raffeycassidy michielhuisman denisegough malgorzataszumowska drama horror
The Highwaymen,the untold true story of the legendary detectives who brought down bonnie and clyde. kevincostner woodyharrelson kathybates johnleehancock biography crime drama
Jay and Silent Bob Reboot,jay and silent bob inadvertently sign away their names and rights to the new bluntman and chronic movie. now they head to hollywood to stop the film from being made. along the way jay discovers that he is a father. joeylaurenadams benaffleck fredarmisen kevinsmith action adventure comedy
Code 8,a super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother. karimatchett robbieamell pennyeizenga jeffchan action crime drama
The Poison Rose,"inspired by classic film noir, carson phillips, an ex-football star turned pi, has a soft spot for a lady in distress. johntravolta morganfreeman brendanfraser francescocinquemani,georgegallo crime drama mystery"
"Yes, God, Yes","after an innocent aol chat turns racy, a catholic teenager in the early 2000s discovers masturbation and struggles to suppress her new urges in the face of eternal damnation. nataliadyer timothysimons wolfgangnovogratz karenmaine comedy drama"
Black Christmas,a group of female students is stalked by a stranger during their christmas break. that is until the young sorority pledges discover that the killer is part of an underground college conspiracy. imogenpoots aleyseshannon lilydonoghue sophiatakal horror mystery thriller
The Professor and the Madman,"professor james murray begins work compiling words for the first edition of the oxford english dictionary in the mid-19th century, and receives over 10,000 entries from a patient at broadmoor criminal lunatic asylum, dr. william minor. melgibson seanpenn eddiemarsan farhadsafinia biography drama"
The Last Black Man in San Francisco,a young man searches for home in the changing city that seems to have left him behind. jimmiefails jonathanmajors robmorgan joetalbot drama
Countdown,"when a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. with the clock ticking and a figure haunting her, she must find a way to save her life before time runs out. elizabethlail jordancalloway talithaelianabateman justindec horror thriller"
The Farewell,"a chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies. shuzhenzhao awkwafina xmayo luluwang comedy drama"
How to Train Your Dragon: The Hidden World,"when hiccup discovers toothless isn't the only night fury, he must seek ""the hidden world"", a secret dragon utopia before a hired tyrant named grimmel finds it first. jaybaruchel americaferrera f.murrayabraham deandeblois animation action adventure"
In the Shadow of the Moon,a philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation. boydholbrook cleopatracoleman bokeemwoodbine jimmickle crime mystery sciencefiction
Cold Pursuit,a grieving snowplow driver seeks out revenge against the drug dealers who killed his son. liamneeson lauradern micheálrichardson hanspettermoland action comedy crime
Eli,a boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought. charlieshotwell kellyreilly maxmartini ciaránfoy drama horror mystery
IO,"as a young scientist searches for a way to save a dying earth, she finds a connection with a man who's racing to catch the last shuttle off the planet. margaretqualley anthonymackie dannyhuston jonathanhelpert adventure drama sciencefiction"
Tolkien,"the formative years of the orphaned author j.r.r. tolkien as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school. nicholashoult lilycollins colmmeaney domekarukoski biography drama romance"
A Call to Spy,"in the beginning of wwii, with britain becoming desperate, churchill orders his new spy agency - soe - to recruit and train women as spies. sarahmeganthomas stanakatic radhikaapte lydiadeanpilcher biography crime drama"
The Silence,"when the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old ally andrews (kiernan shipka), who lost her hearing at 13, and her family seek refuge in a remote haven. stanleytucci kiernanshipka mirandaotto johnr.leonetti drama horror sciencefiction"
Strange But True,a woman surprises the family of her deceased boyfriend by telling them she's pregnant with his child. nickrobinson amyryan gregkinnear rowanathale thriller
Waiting for the Barbarians,"at an isolated frontier outpost, a colonial magistrate suffers a crisis of conscience when an army colonel arrives looking to interrogate the locals about an impending uprising, using cruel tactics that horrify the magistrate. markrylance johnnydepp robertpattinson ciroguerra drama"
The Souvenir,a young film student in the early '80s becomes romantically involved with a complicated and untrustworthy man. neilyoung tosincole jackmcmullen joannahogg drama mystery romance
I Spit on Your Grave: Deja Vu,cinema's top lethal lady vengeance returns in the most anticipated sequel of all time. camillekeaton jamiebernadette mariaolsen meirzarchi horror thriller
The Report,"idealistic senate staffer daniel j. jones, tasked by his boss to lead an investigation into the cia's post 9/11 detention and interrogation program, uncovers shocking secrets. adamdriver annettebening jonhamm scottz.burns biography crime drama"
Always Be My Maybe,"everyone assumed that sasha and marcus would wind up together, except for sasha and marcus. reconnecting after 15 years, the two start to wonder--maybe? aliwong randallpark jamessaito nahnatchkakhan comedy romance"
Long Shot,"journalist fred flarsky reunites with his childhood crush, charlotte field, now one of the most influential women in the world. as she prepares to make a run for the presidency, charlotte hires fred as her speechwriter and sparks fly. charlizetheron sethrogen junedianeraphael jonathanlevine comedy romance"
A Hidden Life,"the austrian franz jägerstätter, a conscientious objector, refuses to fight for the nazis in world war ii. augustdiehl valeriepachner mariasimon terrencemalick biography drama romance"
Bad Education,"the beloved superintendent of new york's roslyn school district and his staff, friends and relatives become the prime suspects in the unfolding of the single largest public school embezzlement scandal in american history. hughjackman rayromano welkerwhite coryfinley biography comedy crime"
I Am Mother,"in the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. but their unique bond is threatened when an inexplicable stranger arrives with alarming news. lukehawker rosebyrne maddielenton grantsputore drama mystery sciencefiction"
Happy Death Day 2U,tree gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead. jessicarothe israelbroussard phivu christopherlandon comedy horror mystery
Dreamland,a teenager's adventures as a bounty hunter take an unexpected twist. finncole margotrobbie travisfimmel milesjoris-peyrafitte drama thriller
First Cow,"a skilled cook has traveled west and joined a group of fur trappers in oregon, though he only finds true connection with a chinese immigrant also seeking his fortune. soon the two collaborate on a successful business. aliashawkat johnmagaro dylansmith kellyreichardt drama western"
Villains,"after a pair of amateur criminals break into a suburban home, they stumble upon a dark secret that two sadistic homeowners will do anything to keep from getting out. billskarsgård maikamonroe blakebaumgartner danberk,robertolsen comedy drama horror"
Tenki no ko,a high-school boy who has run away to tokyo befriends a girl who appears to be able to manipulate the weather. kotarodaigo nanamori tsubasahonda makotoshinkai animation drama fantasy
Between Two Ferns: The Movie,zach galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews. zachgalifianakis matthewmcconaughey rekhashankar scottaukerman comedy
Dolor y gloria,a film director reflects on the choices he's made in life as the past and present come crashing down around him. antoniobanderas asieretxeandia leonardosbaraglia pedroalmodóvar drama
Dumbo,"a young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, dumbo and his friends discover dark secrets beneath its shiny veneer. colinfarrell michaelkeaton dannydevito timburton adventure family fantasy"
Ode to Joy,"charlie has a neurological disorder in which strong emotions, especially joy, make him faint. he lives with his brother. working as librarian gives him a quiet environment, but then francesca enters the library and his life. martinfreeman morenabaccarin jakelacy jasonwiner comedy romance"
Tayna pechati drakona,"early 1700: cartographer jonathan green (jason flemyng) from viy (2014) is back to map the russian far east. he's forced on to china, where he confronts the dragon master et al. the iron masked russian czar escapes the tower of london to a russian ship. jasonflemyng xingtongyao jackiechan olegstepchenko action adventure family"
Escape Plan: The Extractors,"after security expert ray breslin is hired to rescue the kidnapped daughter of a hong kong tech mogul from a formidable latvian prison, breslin's girlfriend is also captured. sylvesterstallone davebautista 50cent johnherzfeld action crime thriller"
Abominable,"three teenagers must help a yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs. chloebennet alberttsai tenzingnorgaytrainor jillculton,toddwilderman animation adventure comedy"
Serenity,a fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems. matthewmcconaughey annehathaway dianelane stevenknight drama mystery thriller
Waves,"traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss. kelvinharrisonjr. lucashedges taylorrussell treyedwardshults drama romance sport"
Seberg,"inspired by real events in the life of french new wave icon jean seberg. in the late 1960s, hoover's fbi targeted her because of her political and romantic involvement with civil rights activist hakim jamal. kristenstewart yvanattal gabrielsky benedictandrews biography drama thriller"
Wasp Network,the story of five cuban political prisoners who had been imprisoned by the united states since the late 1990s on charges of espionage and murder. penélopecruz edgarramírez gaelgarcíabernal olivierassayas crime drama thriller
The Vast of Night,"one night in new mexico, in the late 1950s, a switchboard operator and radio dj discover a strange audio frequency which could change the future forever. sierramccormick jakehorowitz gailcronauer andrewpatterson drama mystery sciencefiction"
The Art of Racing in the Rain,"through his bond with his owner, aspiring formula one race car driver denny, golden retriever enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life. kevincostner miloventimiglia jackieminns simoncurtis comedy drama romance"
The Wretched,"a defiant teenage boy, struggling with his parents' imminent divorce, faces off with a thousand year-old witch, who is living beneath the skin of and posing as the woman next door. john-paulhoward pipercurda jamisonjones brettpierce,drewt.pierce horror mystery"
We Summon the Darkness,"three best friends embark on a road trip to a heavy-metal show, where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party. alexandradaddario keeanjohnson maddiehasson marcmeyers horror music thriller"
The Assistant,"a searing look at a day in the life of an assistant to a powerful executive. as jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position. juliagarner owenholland jonorsini kittygreen drama"
